forecast_time,temperature,location,latitude,longitude,model,fetched_at,horizon_hours
2026-06-28 00:00:00+00:00,22.8,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-20.922459744444442
2026-06-28 01:00:00+00:00,21.9,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-19.922459744444442
2026-06-28 02:00:00+00:00,21.3,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-18.922459744444442
2026-06-28 03:00:00+00:00,20.8,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-17.922459744444446
2026-06-28 04:00:00+00:00,20.5,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-16.922459744444446
2026-06-28 05:00:00+00:00,20.2,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-15.922459744444446
2026-06-28 06:00:00+00:00,20.1,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-14.922459744444446
2026-06-28 07:00:00+00:00,20.3,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-13.922459744444446
2026-06-28 08:00:00+00:00,21.2,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-12.922459744444446
2026-06-28 09:00:00+00:00,22.4,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-11.922459744444446
2026-06-28 10:00:00+00:00,23.5,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-10.922459744444446
2026-06-28 11:00:00+00:00,24.0,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-9.922459744444446
2026-06-28 12:00:00+00:00,24.4,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-8.922459744444446
2026-06-28 13:00:00+00:00,24.8,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-7.922459744444445
2026-06-28 14:00:00+00:00,25.4,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-6.922459744444445
2026-06-28 15:00:00+00:00,26.0,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-5.922459744444445
2026-06-28 16:00:00+00:00,26.1,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-4.922459744444445
2026-06-28 17:00:00+00:00,25.4,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-3.9224597444444442
2026-06-28 18:00:00+00:00,24.3,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-2.9224597444444442
2026-06-28 19:00:00+00:00,23.1,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-1.9224597444444445
2026-06-28 20:00:00+00:00,22.1,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,-0.9224597444444443
2026-06-28 21:00:00+00:00,21.0,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,0.07754025555555556
2026-06-28 22:00:00+00:00,20.0,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,1.0775402555555555
2026-06-28 23:00:00+00:00,19.1,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,2.0775402555555553
2026-06-29 00:00:00+00:00,18.2,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,3.0775402555555558
2026-06-29 01:00:00+00:00,17.4,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,4.077540255555555
2026-06-29 02:00:00+00:00,16.5,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,5.077540255555555
2026-06-29 03:00:00+00:00,15.8,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,6.077540255555555
2026-06-29 04:00:00+00:00,15.3,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,7.077540255555555
2026-06-29 05:00:00+00:00,15.2,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,8.077540255555554
2026-06-29 06:00:00+00:00,15.4,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,9.077540255555554
2026-06-29 07:00:00+00:00,15.9,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,10.077540255555554
2026-06-29 08:00:00+00:00,17.0,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,11.077540255555554
2026-06-29 09:00:00+00:00,18.3,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,12.077540255555554
2026-06-29 10:00:00+00:00,19.7,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,13.077540255555554
2026-06-29 11:00:00+00:00,20.9,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,14.077540255555554
2026-06-29 12:00:00+00:00,22.0,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,15.077540255555554
2026-06-29 13:00:00+00:00,23.0,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,16.077540255555554
2026-06-29 14:00:00+00:00,23.7,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,17.077540255555554
2026-06-29 15:00:00+00:00,24.1,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,18.077540255555554
2026-06-29 16:00:00+00:00,24.4,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,19.077540255555558
2026-06-29 17:00:00+00:00,24.4,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,20.077540255555558
2026-06-29 18:00:00+00:00,24.2,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,21.077540255555558
2026-06-29 19:00:00+00:00,23.9,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,22.077540255555558
2026-06-29 20:00:00+00:00,23.4,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,23.077540255555558
2026-06-29 21:00:00+00:00,22.9,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,24.077540255555558
2026-06-29 22:00:00+00:00,22.1,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,25.077540255555558
2026-06-29 23:00:00+00:00,21.1,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,26.077540255555558
2026-06-30 00:00:00+00:00,20.0,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,27.077540255555558
2026-06-30 01:00:00+00:00,19.0,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,28.077540255555558
2026-06-30 02:00:00+00:00,18.5,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,29.077540255555558
2026-06-30 03:00:00+00:00,18.2,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,30.077540255555558
2026-06-30 04:00:00+00:00,18.0,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,31.077540255555558
2026-06-30 05:00:00+00:00,17.7,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,32.077540255555554
2026-06-30 06:00:00+00:00,17.5,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,33.077540255555554
2026-06-30 07:00:00+00:00,17.8,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,34.077540255555554
2026-06-30 08:00:00+00:00,18.7,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,35.077540255555554
2026-06-30 09:00:00+00:00,20.1,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,36.077540255555554
2026-06-30 10:00:00+00:00,21.3,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,37.077540255555554
2026-06-30 11:00:00+00:00,22.3,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,38.077540255555554
2026-06-30 12:00:00+00:00,23.1,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,39.077540255555554
2026-06-30 13:00:00+00:00,23.8,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,40.077540255555554
2026-06-30 14:00:00+00:00,24.6,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,41.077540255555554
2026-06-30 15:00:00+00:00,25.3,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,42.077540255555554
2026-06-30 16:00:00+00:00,25.5,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,43.077540255555554
2026-06-30 17:00:00+00:00,24.8,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,44.077540255555554
2026-06-30 18:00:00+00:00,23.5,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,45.077540255555554
2026-06-30 19:00:00+00:00,22.4,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,46.077540255555554
2026-06-30 20:00:00+00:00,21.8,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,47.077540255555554
2026-06-30 21:00:00+00:00,21.2,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,48.077540255555554
2026-06-30 22:00:00+00:00,20.7,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,49.077540255555554
2026-06-30 23:00:00+00:00,20.0,London,51.505,0.05500000000000002,ecmwf_ifs025,2026-06-28 20:55:20.855080+00:00,50.077540255555554
